datatime,total_ram(MB),free_ram(MB),package,pid,pid_pss(MB)
2024-01-18 19-21-56,5864.63,629.52,com.yangcong345.android.phone,3883,1600.32
2024-01-18 19-22-46,5864.63,580.97,com.yangcong345.android.phone,3883,1641.29
2024-01-18 19-23-36,5864.63,577.17,com.yangcong345.android.phone,3883,1689.55
2024-01-18 19-24-26,5864.63,589.25,com.yangcong345.android.phone,3883,1667.75
2024-01-18 19-25-16,5864.63,510.61,com.yangcong345.android.phone,3883,1649.09
2024-01-18 19-26-07,5864.63,582.55,com.yangcong345.android.phone,3883,1675.6
2024-01-18 19-27-05,5864.63,2127.14,com.yangcong345.android.phone,,
2024-01-18 19-28-14,5864.63,2839.94,com.yangcong345.android.phone,12121,424.43
2024-01-18 19-29-14,5864.63,2729.38,com.yangcong345.android.phone,12121,520.8
2024-01-18 19-30-07,5864.63,2629.86,com.yangcong345.android.phone,12121,533.06
2024-01-18 19-31-00,5864.63,2565.33,com.yangcong345.android.phone,12121,540.58
2024-01-18 19-31-54,5864.63,2547.36,com.yangcong345.android.phone,12121,558.39
2024-01-18 19-32-49,5864.63,2374.55,com.yangcong345.android.phone,12121,585.64
2024-01-18 19-33-45,5864.63,2311.4,com.yangcong345.android.phone,12121,604.91
2024-01-18 19-34-39,5864.63,2136.98,com.yangcong345.android.phone,12121,671.33
2024-01-18 19-35-35,5864.63,2101.17,com.yangcong345.android.phone,12121,677.82
2024-01-18 19-36-32,5864.63,2013.1,com.yangcong345.android.phone,12121,731.63
2024-01-18 19-37-26,5864.63,1868.54,com.yangcong345.android.phone,12121,752.59
2024-01-18 19-38-21,5864.63,1762.43,com.yangcong345.android.phone,12121,761.74
2024-01-18 19-39-17,5864.63,1689.71,com.yangcong345.android.phone,12121,769.29
2024-01-18 19-40-23,5864.63,1601.02,com.yangcong345.android.phone,12121,787.32
2024-01-18 19-41-17,5864.63,1498.78,com.yangcong345.android.phone,12121,811.37
2024-01-18 19-42-11,5864.63,1410.49,com.yangcong345.android.phone,12121,796.68
2024-01-18 19-43-06,5864.63,1267.56,com.yangcong345.android.phone,12121,815.79
2024-01-18 19-44-02,5864.63,1190.34,com.yangcong345.android.phone,12121,830.0
2024-01-18 19-44-56,5864.63,1082.38,com.yangcong345.android.phone,12121,847.58
2024-01-18 19-45-49,5864.63,994.34,com.yangcong345.android.phone,12121,865.97
2024-01-18 19-46-43,5864.63,905.41,com.yangcong345.android.phone,12121,881.09
2024-01-18 19-47-39,5864.63,879.71,com.yangcong345.android.phone,12121,890.18
2024-01-18 19-48-33,5864.63,783.12,com.yangcong345.android.phone,12121,944.15
2024-01-18 19-49-28,5864.63,721.21,com.yangcong345.android.phone,12121,1014.99
2024-01-18 19-50-26,5864.63,619.4,com.yangcong345.android.phone,12121,1053.03
2024-01-18 19-51-24,5864.63,515.85,com.yangcong345.android.phone,12121,1073.99
2024-01-18 19-52-25,5864.63,444.72,com.yangcong345.android.phone,12121,1091.35
2024-01-18 19-53-22,5864.63,393.08,com.yangcong345.android.phone,12121,1036.95
2024-01-18 19-54-19,5864.63,290.6,com.yangcong345.android.phone,12121,1055.42
2024-01-18 19-55-28,5864.63,287.37,com.yangcong345.android.phone,12121,1054.19
